rate,width,wiring,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
1e-4,wide,rn,42,19.373667,0.851333,162.000000,257.000000,0
1e-4,wide,rn,43,19.325000,0.863667,193.000000,233.000000,0
1e-4,wide,rn,44,18.105667,0.680333,265.000000,219.000000,0
1e-4,wide,rn,45,17.843333,0.716333,142.000000,241.000000,0
1e-4,wide,rn,46,17.085000,0.609000,149.000000,102.000000,0
1e-4,wide,rn,47,19.701333,0.938000,66.000000,202.000000,0
1e-4,wide,rn,48,19.291333,0.836667,150.000000,209.000000,0
1e-4,wide,rn,49,18.904000,0.772000,338.000000,407.000000,0
1e-4,wide,rn,50,19.178333,0.785667,257.000000,347.000000,0
1e-4,wide,rn,51,18.641333,0.672333,351.000000,435.000000,0
1e-4,wide,rn,52,18.609667,0.776000,258.000000,355.000000,0
1e-4,wide,rn,53,15.997000,0.498667,471.000000,528.000000,0
1e-4,wide,rn,54,19.580333,0.914000,90.000000,219.000000,0
1e-4,wide,rn,55,19.101667,0.839000,160.000000,219.000000,0
1e-4,wide,rn,56,19.268667,0.849000,96.000000,213.000000,0
1e-4,wide,rn,57,19.398333,0.876000,170.000000,245.000000,0
1e-4,wide,rn,58,19.348000,0.853667,186.000000,259.000000,0
1e-4,wide,rn,59,18.427000,0.762667,218.000000,274.000000,0
1e-4,wide,rn,60,19.363000,0.879333,125.000000,213.000000,0
1e-4,wide,rn,61,19.231667,0.851667,212.000000,249.000000,0
1e-4,wide,rn,62,16.220000,0.546000,45.000000,73.000000,0
1e-4,wide,rn,63,19.625667,0.904000,70.000000,206.000000,0
1e-4,wide,rn,64,18.889000,0.793333,160.000000,238.000000,0
1e-4,wide,rn,65,19.274000,0.861000,88.000000,206.000000,0
1e-4,wide,rn,66,16.766000,0.593667,218.000000,349.000000,0
1e-4,wide,rn,67,18.287333,0.633667,355.000000,357.000000,0
1e-4,wide,rn,68,17.343667,0.655000,95.000000,102.000000,0
1e-4,wide,rn,69,18.415333,0.718000,295.000000,295.000000,0
1e-4,wide,rn,70,18.534333,0.733333,413.000000,447.000000,0
1e-4,wide,rn,71,19.127667,0.854000,130.000000,233.000000,0
1e-4,wide,rn,72,18.515000,0.790333,172.000000,183.000000,0
1e-4,wide,rn,73,18.710667,0.804333,129.000000,154.000000,0
1e-4,wide,rn,74,19.263333,0.832333,103.000000,212.000000,0
1e-4,wide,rn,75,19.016667,0.824000,218.000000,279.000000,0
1e-4,wide,rn,76,19.182667,0.850667,331.000000,412.000000,0
1e-4,wide,rn,77,19.331333,0.863000,140.000000,242.000000,0
1e-4,wide,rn,78,19.672333,0.928667,28.000000,111.000000,0
1e-4,wide,rn,79,19.505000,0.918333,136.000000,220.000000,0
1e-4,wide,rn,80,18.866667,0.822333,279.000000,343.000000,0
1e-4,wide,rn,81,19.154667,0.885667,158.000000,255.000000,0
1e-4,wide,rn,82,18.345000,0.729333,116.000000,206.000000,0
1e-4,wide,rn,83,18.501000,0.755000,246.000000,306.000000,0
1e-4,wide,rn,84,19.286667,0.867000,214.000000,285.000000,0
1e-4,wide,rn,85,19.200333,0.860667,215.000000,299.000000,0
1e-4,wide,rn,86,17.550333,0.730000,215.000000,584.000000,0
