arm,seed,window_end,success
rn_fullclone_ppo,5,1500,7.20
rn_fullclone_ppo,5,1750,20.00
rn_fullclone_ppo,5,2000,18.40
rn_fullclone_ppo,5,2250,10.40
rn_fullclone_ppo,5,2500,14.40
rn_fullclone_ppo,5,2750,5.60
rn_fullclone_ppo,5,3000,22.40
rn_fullclone_ppo,6,250,83.60
rn_fullclone_ppo,6,500,48.00
rn_fullclone_ppo,6,750,30.40
rn_fullclone_ppo,6,1000,34.80
rn_fullclone_ppo,6,1250,28.40
rn_fullclone_ppo,6,1500,32.80
rn_fullclone_ppo,6,1750,44.80
rn_fullclone_ppo,6,2000,47.20
rn_fullclone_ppo,6,2250,48.80
rn_fullclone_ppo,6,2500,59.20
rn_fullclone_ppo,6,2750,52.00
rn_fullclone_ppo,6,3000,42.80
rn_fullclone_ppo,7,250,48.00
rn_fullclone_ppo,7,500,41.20
rn_fullclone_ppo,7,750,44.00
rn_fullclone_ppo,7,1000,40.40
rn_fullclone_ppo,7,1250,20.00
rn_fullclone_ppo,7,1500,28.40
rn_fullclone_ppo,7,1750,54.00
rn_fullclone_ppo,7,2000,32.00
rn_fullclone_ppo,7,2250,32.00
rn_fullclone_ppo,7,2500,32.40
rn_fullclone_ppo,7,2750,58.00
rn_fullclone_ppo,7,3000,52.00
rn_fullclone_ppo,8,250,44.00
rn_fullclone_ppo,8,500,22.40
rn_fullclone_ppo,8,750,42.40
rn_fullclone_ppo,8,1000,13.60
rn_fullclone_ppo,8,1250,2.40
rn_fullclone_ppo,8,1500,0.80
rn_fullclone_ppo,8,1750,2.00
rn_fullclone_ppo,8,2000,2.40
rn_fullclone_ppo,8,2250,6.00
rn_fullclone_ppo,8,2500,5.20
rn_fullclone_ppo,8,2750,10.00
rn_fullclone_ppo,8,3000,7.20
wt_ppo,1,250,57.60
wt_ppo,1,500,76.80
wt_ppo,1,750,84.80
wt_ppo,1,1000,85.20
wt_ppo,1,1250,82.00
wt_ppo,1,1500,82.40
wt_ppo,1,1750,85.60
wt_ppo,1,2000,84.40
wt_ppo,1,2250,89.20
wt_ppo,1,2500,86.00
wt_ppo,1,2750,85.20
wt_ppo,1,3000,84.80
wt_ppo,2,250,12.80
wt_ppo,2,500,20.80
wt_ppo,2,750,36.00
wt_ppo,2,1000,57.20
wt_ppo,2,1250,45.20
