arm,seed,block,success
rn_global,10,10,37.6000
rn_global,10,11,38.0000
rn_global,11,0,1.2000
rn_global,11,1,2.4000
rn_global,11,2,3.6000
rn_global,11,3,4.4000
rn_global,11,4,4.4000
rn_global,11,5,2.8000
rn_global,11,6,2.8000
rn_global,11,7,5.2000
rn_global,11,8,3.6000
rn_global,11,9,3.2000
rn_global,11,10,2.4000
rn_global,11,11,4.4000
rn_global,12,0,13.6000
rn_global,12,1,6.0000
rn_global,12,2,1.6000
rn_global,12,3,6.0000
rn_global,12,4,2.4000
rn_global,12,5,4.8000
rn_global,12,6,3.2000
rn_global,12,7,6.4000
rn_global,12,8,4.0000
rn_global,12,9,5.6000
rn_global,12,10,4.4000
rn_global,12,11,7.2000
rn_global,13,0,1.2000
rn_global,13,1,4.4000
rn_global,13,2,4.0000
rn_global,13,3,2.8000
rn_global,13,4,4.0000
rn_global,13,5,2.8000
rn_global,13,6,4.4000
rn_global,13,7,5.2000
rn_global,13,8,4.4000
rn_global,13,9,6.8000
rn_global,13,10,5.2000
rn_global,13,11,4.8000
rn_global,14,0,33.6000
rn_global,14,1,51.2000
rn_global,14,2,42.4000
rn_global,14,3,42.8000
rn_global,14,4,34.8000
rn_global,14,5,28.4000
rn_global,14,6,24.0000
rn_global,14,7,28.0000
rn_global,14,8,27.6000
rn_global,14,9,27.6000
rn_global,14,10,27.2000
rn_global,14,11,30.0000
rn_global,15,0,31.6000
rn_global,15,1,48.8000
rn_global,15,2,55.2000
rn_global,15,3,49.6000
rn_global,15,4,50.8000
rn_global,15,5,56.8000
rn_global,15,6,53.6000
rn_global,15,7,57.6000
rn_global,15,8,55.2000
rn_global,15,9,52.0000
rn_global,15,10,56.8000
rn_global,15,11,50.0000
rn_global,16,0,8.0000
rn_global,16,1,4.0000
rn_global,16,2,3.6000
rn_global,16,3,1.2000
rn_global,16,4,0.8000
rn_global,16,5,1.2000
rn_global,16,6,2.8000
rn_global,16,7,1.2000
rn_global,16,8,2.4000
rn_global,16,9,2.8000
rn_global,16,10,1.2000
rn_global,16,11,4.0000
